,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2623,FF,2016-10-02,96.5,-1.6,6.15,"Diaz, Jumbo",608365,471822,field_out,hit_into_play,,,,,1,Addison Russell pops out to third baseman Eugenio Suarez.,R,R,R,CIN,CHC,X,5,popup,1,1,2016,-0.12,1.13,-0.49,3.15,,,,2,5,Top,99.94,165.66,,,,161002_164957,3.269009849945391,-141.2889171166656,-4.473160914074307,-2.16,27.51,-16.49,3.7,1.67,,80.0,69,96.9,2233,6.4,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,0.0,0.0,0.0,1,0,0,3,41,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,193,0.02,-0.249,,,0.0,0.249,88.0,2,-2,0.7999166069975212,0.2000833930024788,32,22,32,22,1,2,3,1,,5,1.32,0.12,0.12,,,,,,
2699,FF,2016-10-02,97.1,-1.58,6.17,"Diaz, Jumbo",608365,471822,,foul,,,,,4,Foul,R,R,R,CIN,CHC,S,,,1,0,2016,-0.33,0.9,-0.45,2.83,,,,2,5,Top,,,,,,161002_164930,3.9144703200380255,-142.2353978445591,-4.819745260399446,-5.18,31.98,-19.22,3.7,1.67,181,79.0,71,96.6,2254,6.2,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,41,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,199,0.008,-0.052,,,,0.052,88.0,2,-2,0.7999166069975212,0.2000833930024788,32,22,32,22,1,2,3,1,,5,1.55,0.33,0.33,,,,,,
2866,FF,2016-10-02,97.6,-1.55,6.2,"Diaz, Jumbo",608365,471822,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,0,0,2016,-0.22,1.12,1.56,2.04,,,,2,5,Top,,,,,,161002_164911,8.952366656078263,-142.53728073735658,-7.662353395636277,-4.81,30.22,-15.71,3.79,1.73,,,,97.4,2275,6.4,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,41,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,201,0.008,0.034,,,,-0.034,,2,-2,0.7999166069975212,0.2000833930024788,32,22,32,22,1,2,3,1,,5,1.31,0.22,0.22,,,,,,
771,CH,2016-10-02,85.6,-0.56,6.4,"Stephenson, Robert",608365,596112,strikeout,swinging_strike_blocked,,,,,14,"Addison Russell strikes out swinging, catcher Tucker Barnhart to first baseman Joey Votto.",R,R,R,CIN,CHC,S,2,,0,2,2016,0.21,-0.13,0.55,0.08,,592178,,2,3,Top,,,,,,161002_161109,2.11358783674182,-125.02191367916268,-7.270568429584224,1.84,19.17,-32.4,3.7,1.67,,,,85.3,2100,6.0,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,0.0,0.0,1,0,0,,25,4,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,197,0.041,-0.17,,,,0.17,,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,3.24,-0.21,-0.21,,,,,,
791,FF,2016-10-02,96.8,-0.6,6.13,"Stephenson, Robert",608365,596112,,foul,,,,,12,Foul,R,R,R,CIN,CHC,S,,,0,2,2016,-0.66,1.31,0.52,4.04,,592178,,2,3,Top,,,,,,161002_161037,4.736043051115972,-141.80729882484894,-2.4769546344197453,-9.61,31.63,-14.54,3.7,1.67,150,84.6,6,96.4,2408,6.3,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,25,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,207,0.007,0.0,,,,0.0,88.0,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,1.16,0.66,0.66,,,,,,
814,FF,2016-10-02,95.8,-0.77,5.97,"Stephenson, Robert",608365,596112,,swinging_strike,,,,,11,Swinging Strike,R,R,R,CIN,CHC,S,,,0,1,2016,-0.74,1.16,-0.58,3.9,,592178,,2,3,Top,,,,,,161002_161012,2.471943370661012,-140.42182202207746,-1.89485113559399,-10.01,31.46,-16.95,3.7,1.67,,,,94.9,2343,6.1,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,25,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,209,0.007,-0.069,,,,0.069,,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,1.36,0.74,0.74,,,,,,
838,FF,2016-10-02,95.1,-0.49,6.24,"Stephenson, Robert",608365,596112,,foul,,,,,5,Foul,R,R,R,CIN,CHC,S,,,0,0,2016,-0.59,1.35,0.06,3.02,,592178,,2,3,Top,,,,,,161002_160942,2.9924649331395736,-139.39138997800404,-5.255384813339726,-8.1,31.83,-14.03,3.7,1.67,191,77.8,65,94.8,2293,6.5,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,25,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,209,0.007,-0.043,,,,0.043,88.0,2,-2,0.73067508014958,0.2693249198504199,23,22,23,22,2,1,5,1,,5,1.21,0.59,0.59,,,,,,
1978,CH,2016-10-02,86.5,-0.78,6.46,"Stephenson, Robert",608365,596112,grounded_into_double_play,hit_into_play,,,,,5,"Addison Russell grounds into a double play, third baseman Eugenio Suarez to second baseman Ivan De Jesus to first baseman Joey Votto.   Ben Zobrist out at 2nd.    Addison Russell out at 1st.",R,R,R,CIN,CHC,X,5,ground_ball,0,1,2016,0.03,0.06,0.24,2.63,451594,592178,450314,1,1,Top,106.0,165.05,,,,161002_152252,2.374275724396495,-126.70877791218729,-2.000093208743177,-0.12,23.26,-31.15,3.7,1.67,10,92.1,-15,85.2,2400,5.6,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,0.16,0.16,0.0,1,0,0,2,5,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,189,0.146,-0.251,,,0.169,0.251,92.1,0,0,0.4012472314756728,0.5987527685243271,23,22,23,22,1,0,5,1,,5,3.0,-0.03,-0.03,,,,,,
1987,FF,2016-10-02,94.6,-0.87,6.02,"Stephenson, Robert",608365,596112,,called_strike,,,,,14,Called Strike,R,R,R,CIN,CHC,S,,,0,0,2016,-0.75,0.92,1.11,2.5,451594,592178,450314,1,1,Top,,,,,,161002_152233,7.097885999656394,-138.47997003177028,-4.756327185668128,-10.97,33.41,-19.73,3.8,1.58,,,,93.1,2317,6.0,449284,571466,458015,474443,553993,606299,594807,594988,573113,54.5,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219,0.001,-0.059,,,,0.059,,0,0,0.4012472314756728,0.5987527685243271,23,22,23,22,1,0,5,1,,5,1.69,0.75,0.75,,,,,,
1764,SL,2016-10-01,94.9,-1.72,5.79,"Lorenzen, Michael",608365,547179,strikeout,called_strike,,,,,5,Addison Russell called out on strikes.,R,R,R,CIN,CHC,S,2,,3,2,2016,0.33,0.43,-0.22,2.79,,,,1,8,Top,,,,,,161001_185419,3.062054390569677,-138.93208268790906,-2.3344881828373527,3.63,26.84,-26.33,3.74,1.68,,,,94.0,2381,5.7,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,0.0,0.0,1,0,0,,66,6,Slider,7,4,4,7,4,7,4,7,Standard,Standard,183,0.018,-0.336,,,,0.336,,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,2.11,-0.33,-0.33,,,,,,
1805,SL,2016-10-01,95.2,-1.98,5.82,"Lorenzen, Michael",608365,547179,,foul,,,,,5,Foul,R,R,R,CIN,CHC,S,,,3,1,2016,0.53,0.51,-0.13,2.4,,,,1,8,Top,,,,,,161001_185355,3.449425102574511,-139.2716065822463,-3.73057173866095,6.19,24.43,-24.98,3.72,1.68,197,80.2,21,94.6,2554,5.7,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,66,5,Slider,7,4,4,7,4,7,4,7,Standard,Standard,176,0.005,-0.095,,,,0.095,88.0,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,2.0,-0.53,-0.53,,,,,,
1836,SL,2016-10-01,94.8,-1.7,5.79,"Lorenzen, Michael",608365,547179,,ball,,,,,8,Ball,R,R,R,CIN,CHC,B,,,2,1,2016,0.06,0.44,-0.22,1.66,,,,1,8,Top,,,,,,161001_185338,3.693160329643857,-138.53910675329186,-5.35490881937376,0.21,23.0,-25.64,3.81,1.68,,,,94.4,2462,5.8,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,66,4,Slider,7,4,4,7,4,7,4,7,Standard,Standard,198,0.005,0.123,,,,-0.123,,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,2.08,-0.06,-0.06,,,,,,
1870,FF,2016-10-01,97.1,-1.77,5.99,"Lorenzen, Michael",608365,547179,,foul,,,,,1,Foul,R,R,R,CIN,CHC,S,,,2,0,2016,-0.73,0.86,-0.79,3.57,,,,1,8,Top,,,,,,161001_185319,4.586206987421204,-142.20607722597512,-2.2839365255881487,-10.59,29.17,-20.35,3.72,1.68,,,,96.1,2212,5.8,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,66,3,4-Seam Fastball,7,4,4,7,4,7,4,7,Standard,Standard,210,0.005,-0.06,,,,0.06,,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,1.57,0.73,0.73,,,,,,
1916,FF,2016-10-01,96.1,-1.46,6.06,"Lorenzen, Michael",608365,547179,,ball,,,,,11,Ball,R,R,R,CIN,CHC,B,,,1,0,2016,-0.68,0.76,-0.86,3.81,,,,1,8,Top,,,,,,161001_185303,3.414064231623692,-140.75860755207833,-1.393724221481677,-9.48,28.64,-22.02,3.84,1.75,,,,95.3,2110,5.8,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,66,2,4-Seam Fastball,7,4,4,7,4,7,4,7,Standard,Standard,213,0.005,0.067,,,,-0.067,,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,1.72,0.68,0.68,,,,,,
1958,SI,2016-10-01,97.7,-1.8,6.0,"Lorenzen, Michael",608365,547179,,ball,,,,,11,Ball,R,R,R,CIN,CHC,B,,,0,0,2016,-0.81,0.76,-1.08,4.08,,,,1,8,Top,,,,,,161001_185249,4.139650357752354,-143.19073154363028,-0.7195864905120298,-11.72,32.68,-21.89,3.84,1.68,,,,96.7,2126,5.9,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,66,1,Sinker,7,4,4,7,4,7,4,7,Standard,Standard,215,0.005,0.045,,,,-0.045,,3,-3,0.951427057615934,0.048572942384066,24,22,24,22,1,3,3,1,,1,1.66,0.81,0.81,,,,,,
3986,SI,2016-10-01,96.8,-2.38,6.57,"Wood, Blake",608365,502028,strikeout,called_strike,,,,,6,Addison Russell called out on strikes.,R,R,R,CIN,CHC,S,2,,0,2,2016,-0.82,0.6,0.66,2.6,,,,0,6,Top,,,,,,161001_181125,10.28684133793279,-141.33976828904173,-5.647530525358136,-12.74,26.61,-23.25,3.94,1.68,,,,95.9,2158,5.8,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,0.0,0.0,1,0,0,,48,3,Sinker,5,3,3,5,3,5,3,5,Standard,Standard,224,0.04,-0.167,,,,0.167,,2,-2,0.7788536681211153,0.2211463318788846,30,22,31,22,1,2,2,1,1,1,1.85,0.82,0.82,,,,,,
4148,FF,2016-10-01,97.1,-2.41,6.63,"Wood, Blake",608365,502028,,called_strike,,,,,9,Called Strike,R,R,R,CIN,CHC,S,,,0,1,2016,-0.82,0.88,0.37,1.91,,,,0,6,Top,,,,,,161001_181102,9.592769863102308,-141.65417078222583,-8.435845205346535,-12.64,27.12,-18.96,3.91,1.72,,,,96.2,2239,5.9,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,48,2,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Standard,223,0.01,-0.056,,,,0.056,,2,-2,0.7788536681211153,0.2211463318788846,30,22,31,22,1,2,2,1,1,1,1.56,0.82,0.82,,,,,,
4269,FF,2016-10-01,96.1,-2.54,6.63,"Wood, Blake",608365,502028,,called_strike,,,,,5,Called Strike,R,R,R,CIN,CHC,S,,,0,0,2016,-0.92,0.85,-0.24,3.02,,,,0,6,Top,,,,,,161001_181043,8.527058583866713,-140.3480673183639,-5.240040178076064,-13.59,26.37,-20.21,3.97,1.82,,,,95.4,2119,5.9,449269,541608,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,48,1,4-Seam Fastball,5,3,3,5,3,5,3,5,Standard,Standard,220,0.01,-0.041,,,,0.041,,2,-2,0.7788536681211153,0.2211463318788846,30,22,31,22,1,2,2,1,1,1,1.63,0.92,0.92,,,,,,
903,FF,2016-10-01,91.8,-2.69,5.88,"Adleman, Tim",608365,534947,walk,ball,,,,,12,Addison Russell walks.   Anthony Rizzo to 2nd.,R,R,R,CIN,CHC,B,,,3,1,2016,-0.39,1.23,0.94,3.77,,,519203,2,4,Top,,,,,,161001_172716,10.138690674797015,-134.17111797998854,-1.5659276746959685,-6.5,25.0,-17.36,3.83,1.68,,,,92.5,2413,6.7,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,0.690612,0.7,1,0,0,,30,5,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,198,-0.008,0.143,,,,-0.143,,4,-4,0.8966754817070474,0.1033245182929526,28,22,29,22,2,1,5,1,,1,1.49,0.39,0.39,,,,,,
936,FF,2016-10-01,91.9,-2.63,5.82,"Adleman, Tim",608365,534947,,swinging_strike,,,,,2,Swinging Strike,R,R,R,CIN,CHC,S,,,3,0,2016,-0.1,1.3,0.24,3.21,,,519203,2,4,Top,,,,,,161001_172653,7.554958297978532,-134.59300464734412,-2.9427315052898044,-2.83,28.7,-16.31,3.72,1.68,,,,91.7,2329,6.5,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,30,4,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,190,0.007,-0.058,,,,0.058,,4,-4,0.8966754817070474,0.1033245182929526,28,22,29,22,2,1,5,1,,1,1.44,0.1,0.1,,,,,,
957,FF,2016-10-01,91.2,-2.55,6.0,"Adleman, Tim",608365,534947,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,2,0,2016,0.03,1.52,1.71,1.69,,,519203,2,4,Top,,,,,,161001_172632,10.618029024301483,-133.0321104094797,-7.677146919804453,-1.71,25.11,-13.05,3.93,1.77,,,,91.5,2294,6.7,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,30,3,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,189,0.007,0.084,,,,-0.084,,4,-4,0.8966754817070474,0.1033245182929526,28,22,29,22,2,1,5,1,,1,1.25,-0.03,-0.03,,,,,,
1000,FF,2016-10-01,91.4,-2.61,5.97,"Adleman, Tim",608365,534947,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,1,0,2016,0.07,1.53,2.03,2.02,,,519203,2,4,Top,,,,,,161001_172608,11.497412736211569,-133.3113783590883,-6.8053362668157975,-1.4,25.73,-13.13,3.72,1.68,,,,91.4,2322,6.6,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,30,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,186,0.007,0.043,,,,-0.043,,4,-4,0.8966754817070474,0.1033245182929526,28,22,29,22,2,1,5,1,,1,1.24,-0.07,-0.07,,,,,,
1015,FF,2016-10-01,91.3,-2.78,5.87,"Adleman, Tim",608365,534947,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,0,0,2016,-0.08,1.43,1.52,2.42,,,519203,2,4,Top,,,,,,161001_172548,10.967554353787012,-133.25803390415152,-5.348502196718901,-2.88,24.15,-14.51,3.7,1.68,,,,91.8,2309,6.7,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,30,1,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,191,0.007,0.036,,,,-0.036,,4,-4,0.8966754817070474,0.1033245182929526,28,22,29,22,2,1,5,1,,1,1.33,0.08,0.08,,,,,,
2359,CU,2016-10-01,75.2,-2.82,6.0,"Adleman, Tim",608365,534947,field_out,hit_into_play,,,,,9,Addison Russell flies out to left fielder Adam Duvall.,R,R,R,CIN,CHC,X,7,fly_ball,2,2,2016,1.28,-1.18,0.36,2.11,,,,0,2,Top,70.65,74.22,,,,161001_163425,3.928476923279667,-110.12728998754125,2.8018815939532984,9.55,17.74,-42.0,3.72,1.68,325,86.9,33,74.1,2069,5.6,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,0.007,0.006,0.0,1,0,0,3,9,5,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,81,0.029,-0.232,,,0.007,0.232,88.0,1,-1,0.6032225628036543,0.3967774371963457,28,22,29,22,1,0,5,1,,1,5.24,-1.28,-1.28,,,,,,
2442,FF,2016-10-01,91.5,-2.63,6.01,"Adleman, Tim",608365,534947,,foul,,,,,6,Foul,R,R,R,CIN,CHC,S,,,2,1,2016,-0.2,1.1,0.41,2.63,,,,0,2,Top,,,,,,161001_163403,8.172880721422995,-133.86586607496326,-4.367079460740419,-3.94,25.97,-18.47,3.72,1.68,,,,91.6,2297,6.4,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,9,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,193,0.005,-0.069,,,,0.069,,1,-1,0.6032225628036543,0.3967774371963457,28,22,29,22,1,0,5,1,,1,1.65,0.2,0.2,,,,,,
2545,SI,2016-10-01,91.4,-2.7,6.03,"Adleman, Tim",608365,534947,,called_strike,,,,,2,Called Strike,R,R,R,CIN,CHC,S,,,2,0,2016,-0.88,0.84,0.24,3.36,,,,0,2,Top,,,,,,161001_163346,9.586858405037958,-133.69465060353016,-1.9278632578643728,-12.05,24.72,-21.98,3.72,1.68,,,,92.0,2175,6.6,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,9,3,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,216,0.005,-0.068,,,,0.068,,1,-1,0.6032225628036543,0.3967774371963457,28,22,29,22,1,0,5,1,,1,1.9,0.88,0.88,,,,,,
2606,FF,2016-10-01,91.5,-2.49,6.06,"Adleman, Tim",608365,534947,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,1,0,2016,-0.01,1.39,0.9,1.87,,,,0,2,Top,,,,,,161001_163331,8.541121037369312,-133.70034554929168,-7.1076548481521735,-1.81,26.07,-14.58,3.88,1.68,,,,92.0,2248,6.8,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,9,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,192,0.005,0.066,,,,-0.066,,1,-1,0.6032225628036543,0.3967774371963457,28,22,29,22,1,0,5,1,,1,1.37,0.01,0.01,,,,,,
2705,CU,2016-10-01,74.1,-2.81,6.11,"Adleman, Tim",608365,534947,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,0,0,2016,1.26,-0.62,0.57,1.06,,,,0,2,Top,,,,,,161001_163317,4.35184126105384,-108.49772163506478,-0.5561482172777839,9.09,15.81,-36.87,3.62,1.68,,,,72.7,2017,5.1,449269,541608,458015,474443,553993,606299,594807,592731,623182,54.5,,,,,,,,9,1,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,101,0.005,0.039,,,,-0.039,,1,-1,0.6032225628036543,0.3967774371963457,28,22,29,22,1,0,5,1,,1,4.77,-1.26,-1.26,,,,,,
3143,FF,2016-09-30,93.3,-2.14,6.82,"Ohlendorf, Ross",608365,456027,walk,ball,,,,,12,Addison Russell walks.,R,R,R,CIN,CHC,B,,,3,1,2016,-0.23,1.52,0.99,3.41,,,,2,8,Top,,,,,,160930_212140,8.664705528695443,-136.652411617944,-5.771846483958728,-4.921,33.312,-12.526,3.77,1.68,,,,91.1,2290,5.6,449254,571466,458015,474443,553993,606299,594807,454975,592731,54.5,,0.690612,0.7,1,0,0,,59,5,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,200,-0.002,0.174,,,,-0.174,,-6,6,0.0099776780558393,0.9900223219441606,33,22,34,22,1,3,3,1,2,1,1.16,0.23,0.23,,,,,,
3217,FF,2016-09-30,92.7,-2.04,6.81,"Ohlendorf, Ross",608365,456027,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,2,1,2016,-0.29,1.65,0.97,1.53,,,,2,8,Top,,,,,,160930_212122,8.416609759327148,-135.50185788025195,-10.715685042394515,-5.357,32.058,-10.147,3.85,1.72,,,,90.8,2212,5.7,449254,571466,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,59,4,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,201,-0.002,0.097,,,,-0.097,,-6,6,0.0099776780558393,0.9900223219441606,33,22,34,22,1,3,3,1,2,1,1.08,0.29,0.29,,,,,,
3323,FF,2016-09-30,92.9,-2.17,6.85,"Ohlendorf, Ross",608365,456027,,called_strike,,,,,9,Called Strike,R,R,R,CIN,CHC,S,,,2,0,2016,-0.48,1.68,0.53,1.69,,,,2,8,Top,,,,,,160930_212107,8.138716452315933,-135.7630049903139,-10.554078847022373,-7.595,31.406,-9.765,3.81,1.65,,,,90.9,2253,5.6,449254,571466,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,59,3,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,205,-0.002,-0.054,,,,0.054,,-6,6,0.0099776780558393,0.9900223219441606,33,22,34,22,1,3,3,1,2,1,1.03,0.48,0.48,,,,,,
3441,FF,2016-09-30,93.9,-1.85,6.91,"Ohlendorf, Ross",608365,456027,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,1,0,2016,0.0,1.53,1.24,2.68,,,,2,8,Top,,,,,,160930_212050,7.984687864756913,-137.31689242041563,-8.014689592898907,-1.966,33.58,-11.68,3.78,1.69,,,,91.8,2374,5.7,449254,571466,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,59,2,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,192,-0.002,0.053,,,,-0.053,,-6,6,0.0099776780558393,0.9900223219441606,33,22,34,22,1,3,3,1,2,1,1.13,0.0,0.0,,,,,,
3558,CH,2016-09-30,86.5,-2.01,6.77,"Ohlendorf, Ross",608365,456027,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,0,0,2016,-0.79,1.34,0.21,1.31,,,,2,8,Top,,,,,,160930_212037,7.189159183575487,-126.48211494120424,-8.726268484074781,-9.691,28.055,-16.51,3.74,1.68,,,,85.0,2062,6.0,449254,571466,458015,474443,553993,606299,594807,454975,592731,54.5,,,,,,,,59,1,Changeup,1,7,7,1,7,1,7,1,Standard,Standard,214,-0.002,0.034,,,,-0.034,,-6,6,0.0099776780558393,0.9900223219441606,33,22,34,22,1,3,3,1,2,1,1.8,0.79,0.79,,,,,,
2444,FF,2016-09-30,95.3,2.49,5.31,"Cingrani, Tony",608365,571561,double,hit_into_play,,,,,7,Addison Russell doubles (25) on a sharp ground ball to left fielder Adam Duvall.   Ben Zobrist scores.,R,R,L,CIN,CHC,X,7,ground_ball,0,0,2016,0.9,1.08,-0.68,1.66,450314,,,1,7,Top,33.88,105.06,,,,160930_205016,-10.654346182633091,-139.08678818996432,-5.716550044926661,13.534,28.642,-17.357,3.7,1.67,16,83.7,-5,96.4,2343,7.2,449254,571466,458015,474443,553993,606299,594807,454975,592731,54.5,0.153,0.149,1.25,1,1,1,2,46,1,4-Seam Fastball,1,2,2,1,3,1,3,1,Strategic,Standard,166,-0.085,0.551,,,0.153,-0.551,88.0,-1,1,0.2459151326442289,0.754084867355771,26,22,27,22,1,2,3,1,,1,1.47,0.9,-0.9,,,,,,
1203,FF,2016-09-30,90.1,-3.01,5.3,"Smith, Josh A.",608365,595001,field_out,hit_into_play,,,,,5,Addison Russell pops out to shortstop Jose Peraza.,R,R,R,CIN,CHC,X,6,popup,0,0,2016,-0.11,0.79,0.16,2.37,,,,1,5,Top,106.0,122.63,,,,160930_201029,8.130244986051935,-131.83655429735717,-2.218999299607069,-2.694,24.227,-22.809,3.7,1.67,216,90.6,56,90.9,2182,6.8,449254,571466,458015,474443,553993,606299,594807,454975,573113,54.5,0.0,0.0,0.0,1,0,0,3,29,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,194,0.01,-0.256,,,0.0,0.256,90.6,-1,1,0.3857254489731511,0.6142745510268489,28,22,29,22,2,1,5,1,,1,2.04,0.11,0.11,,,,,,
2205,FF,2016-09-30,91.8,-2.91,5.37,"Smith, Josh A.",608365,595001,field_out,hit_into_play,,,,,8,Addison Russell lines out to center fielder Hernan Iribarren.,R,R,R,CIN,CHC,X,8,line_drive,1,1,2016,-0.72,0.78,-0.1,2.17,,,,2,2,Top,109.03,88.09,,,,160930_192901,8.936674693909554,-134.52408224552212,-3.048951509309263,-10.471,32.04,-22.392,3.7,1.67,294,89.0,18,91.1,2245,6.4,449254,571466,458015,474443,553993,606299,594807,454975,573113,54.5,0.513,0.561,0.0,1,0,0,4,10,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,0.01,-0.249,,,0.762,0.249,89.0,0,0,0.5403795079372827,0.4596204920627172,28,22,29,22,1,0,5,1,,1,1.99,0.72,0.72,,,,,,
2236,SL,2016-09-30,85.2,-2.93,5.37,"Smith, Josh A.",608365,595001,,ball,,,,,14,Ball,R,R,R,CIN,CHC,B,,,0,1,2016,0.52,0.22,1.17,2.23,,,,2,2,Top,,,,,,160930_192846,8.418592545323378,-124.76206164134992,-0.3840621372437292,3.547,25.332,-29.914,3.71,1.62,,,,84.5,2345,6.1,449254,571466,458015,474443,553993,606299,594807,454975,573113,54.5,,,,,,,,10,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,162,0.0,0.024,,,,-0.024,,0,0,0.5403795079372827,0.4596204920627172,28,22,29,22,1,0,5,1,,1,2.98,-0.52,-0.52,,,,,,
